iter	Passed	Remaining
0	2	269
1	4	226
2	7	247
3	9	239
4	12	239
5	15	237
6	18	251
7	21	247
8	23	242
9	26	240
10	29	236
11	31	232
12	34	229
13	37	230
14	40	228
15	42	222
16	43	214
17	46	209
18	49	209
19	51	207
20	54	206
21	57	202
22	58	197
23	60	192
24	63	190
25	65	187
26	67	181
27	69	178
28	70	172
29	72	168
30	74	165
31	75	161
32	77	158
33	79	155
34	81	151
35	83	148
36	84	144
37	86	141
38	88	137
39	89	134
40	92	133
41	93	128
42	95	126
43	97	124
44	99	121
45	101	118
46	102	116
47	105	114
48	108	112
49	110	110
50	111	107
51	114	105
52	115	102
53	116	99
54	118	96
55	121	95
56	123	92
57	125	90
58	127	88
59	130	86
60	132	84
61	135	83
62	138	81
63	140	78
64	142	76
65	144	74
66	146	72
67	149	70
68	151	68
69	154	66
70	156	63
71	158	61
72	160	59
73	162	57
74	164	54
75	166	52
76	168	50
77	171	48
78	173	46
79	176	44
80	178	41
81	181	39
82	183	37
83	185	35
84	187	33
85	188	30
86	191	28
87	192	26
88	194	24
89	196	21
90	197	19
91	199	17
92	201	15
93	203	13
94	205	10
95	207	8
96	208	6
97	210	4
98	212	2
99	213	0
