iter	RMSE
0	14.605618
1	14.25178222
2	13.87834124
3	13.55063599
4	13.21721148
5	12.87769522
6	12.561018
7	12.25844634
8	11.99011542
9	11.74622692
10	11.47279772
11	11.23445382
12	10.98963223
13	10.76585318
14	10.53353575
15	10.32248266
16	10.09808861
17	9.9175873
18	9.728251086
19	9.556390472
20	9.375049758
21	9.218682019
22	9.056438425
23	8.883788017
24	8.730334209
25	8.577471814
26	8.434514842
27	8.294202106
28	8.159138549
29	8.028712036
30	7.930192389
31	7.828369579
32	7.724418377
33	7.616301528
34	7.509747538
35	7.4054248
36	7.306820996
37	7.219165062
38	7.143156521
39	7.070494116
40	6.99513477
41	6.916746018
42	6.849189094
43	6.782337593
44	6.711240238
45	6.645431282
46	6.579779893
47	6.520786807
48	6.470149355
49	6.419463898
50	6.372823637
51	6.324170886
52	6.278380985
53	6.2358592
54	6.194299843
55	6.14957212
56	6.110394183
57	6.073245334
58	6.039596956
59	6.007749332
60	5.978589363
61	5.94470782
62	5.911316535
63	5.883792562
64	5.855682625
65	5.829299174
66	5.801898814
67	5.776486667
68	5.752865389
69	5.729991413
70	5.706950603
71	5.688505318
72	5.661070221
73	5.641012663
74	5.624827396
75	5.603873387
76	5.587517347
77	5.570076743
78	5.554720581
79	5.539596143
80	5.525141268
81	5.510063096
82	5.492036336
83	5.476710501
84	5.464161451
85	5.449296074
86	5.434314342
87	5.423170292
88	5.407036589
89	5.390716993
90	5.379564553
91	5.36942579
92	5.359745483
93	5.348982244
94	5.338290014
95	5.331443487
96	5.323279407
97	5.309717165
98	5.297502973
99	5.290142583
100	5.281399937
101	5.276907758
102	5.266082592
103	5.253433918
104	5.247838745
105	5.236892972
106	5.229111584
107	5.221351397
108	5.215338842
109	5.207640535
110	5.198647149
111	5.193234218
112	5.188058558
113	5.180689824
114	5.174531727
115	5.168799121
116	5.16101503
117	5.154391642
118	5.143950058
119	5.137758521
120	5.128233594
121	5.123563294
122	5.116100879
123	5.111563897
124	5.108147009
125	5.103621701
126	5.097008582
127	5.089531572
128	5.084520404
129	5.079618636
130	5.076220924
131	5.068975413
132	5.064784714
133	5.058501576
134	5.052195069
135	5.046162016
136	5.039195618
137	5.033458752
138	5.024208243
139	5.019661291
140	5.017709444
141	5.013283825
142	5.009433455
143	5.005126064
144	4.998893075
145	4.994537102
146	4.988475948
147	4.984607551
148	4.979356687
149	4.972738975
150	4.97037683
151	4.966435464
152	4.959741531
153	4.95677163
154	4.953231628
155	4.949771533
156	4.94530511
157	4.93853498
158	4.932661151
159	4.927203293
160	4.92362218
161	4.92039108
162	4.917252089
163	4.914082806
164	4.906481197
165	4.903404231
166	4.89585521
167	4.891706934
168	4.88947025
169	4.886434409
170	4.882914521
171	4.877918214
172	4.87518377
173	4.872954851
174	4.869964249
175	4.867549476
176	4.864345715
177	4.860377005
178	4.855876322
179	4.851135665
180	4.846065495
181	4.843207254
182	4.839984175
183	4.835458628
184	4.833190444
185	4.828770739
186	4.824030033
187	4.82043171
188	4.816310647
189	4.812220912
190	4.810335146
191	4.808133917
192	4.806452597
193	4.803953959
194	4.800923133
195	4.79765795
196	4.795227828
197	4.789667747
198	4.784825749
199	4.780007562
200	4.777731904
201	4.774914059
202	4.768543234
203	4.764159778
204	4.760397099
205	4.757926989
206	4.756632896
207	4.752524853
208	4.750555721
209	4.749458994
210	4.745814057
211	4.743144847
212	4.740558396
213	4.73332696
214	4.7315252
215	4.724906056
216	4.722403417
217	4.715971489
218	4.71358548
219	4.706818247
220	4.704821369
221	4.701757313
222	4.699171006
223	4.695087378
224	4.693192146
225	4.690523081
226	4.688517226
227	4.684454893
228	4.681495131
229	4.679835712
230	4.676174805
231	4.671941944
232	4.668829923
233	4.667539087
234	4.66507434
235	4.660942748
236	4.658766754
237	4.658006127
238	4.654602752
239	4.65091137
240	4.648636334
241	4.646301543
242	4.645137027
243	4.642568003
244	4.63902307
245	4.63655259
246	4.63117598
247	4.627294047
248	4.627026213
249	4.62415015
250	4.62143393
251	4.619549285
252	4.616533713
253	4.612986578
254	4.608509554
255	4.605325952
256	4.603340948
257	4.597036122
258	4.594562607
259	4.592724444
260	4.589690969
261	4.585767356
262	4.578510259
263	4.576764112
264	4.574612725
265	4.569984804
266	4.567869228
267	4.566073859
268	4.565773532
269	4.56140324
270	4.55869306
271	4.55599596
272	4.550317914
273	4.548206834
274	4.546725812
275	4.540183387
276	4.534619814
277	4.529307795
278	4.525679349
